age,id_number,phone,children,seniority_months,net_salary,other_income,household_income,fixed_expenses,existing_loans,existing_loan_amount_remaining,existing_loan_monthly,account_number,savings,assets_value,credit_amount,credit_duration_months,dti,risk_score,default,dti_risk,score_group_Bon,score_group_Moyen,score_group_Risque élevé,score_group_Très risqué,credit_type_encoded,contract_type_encoded
55,10000054,214661179,0,58,361,0,361,1271,False,0,0,5397054873961029,1578,17216,21487,33,1.8036598673717787,1.0,1,1,False,False,False,True,,
66,10000055,277390918,0,315,3275,0,3275,132,False,0,0,871827496804918,1766,20847,7101,83,0.0261234249977007,0.3167627017989603,0,0,True,False,False,False,,
41,10000056,286667841,0,294,1511,0,1511,325,False,0,0,7274204956121377,6417,179508,15236,42,0.2400806782011282,0.3940664940289274,0,0,False,True,False,False,,
51,10000057,279366056,2,158,2914,0,2914,298,False,0,0,3062604235973711,1993,9595,5940,69,0.0295425382710154,0.160063672525791,0,0,False,False,False,False,,1.0
35,10000058,286703472,0,112,2398,0,2398,1034,True,741,20,2229907756085816,2319,146182,6724,22,0.1357949806657062,0.350030348597922,0,0,False,True,False,False,,1.0
43,10000059,293251648,0,21,1149,0,1149,818,True,5088,127,7046861114576832,1012,0,8135,47,0.2611706757032017,0.6363796925517685,1,0,False,False,True,False,,2.0
61,10000060,229790089,0,47,1383,0,1383,1736,True,2680,99,1021923785847129,750,137978,13965,80,0.1978036876355748,0.5566674396419193,1,0,False,False,True,False,,1.0
42,10000061,226143959,2,36,2847,780,3627,279,False,0,0,6180332426050801,1532,26688,231110,233,0.2734735075867569,0.4696020947050057,1,0,False,True,False,False,,3.0
44,10000062,270269093,2,142,3372,0,3372,376,True,8829,114,8498042537337773,17190,0,7358,39,0.0897587979438513,0.1526294978252273,0,0,False,False,False,False,,1.0
57,10000063,233203422,0,396,2009,0,2009,1137,True,7585,120,1268812282178192,2846,81647,1194,39,0.0749703258414059,0.3648811119194394,1,0,False,True,False,False,,2.0
52,10000064,232436477,0,15,1320,0,1320,1207,False,0,0,3653460605603567,2496,6035,2500,21,0.0901875901875901,0.1736339670481013,0,0,False,False,False,False,,1.0
69,10000065,238439415,0,187,1205,0,1205,354,True,21150,1244,9327986239847169,2590,0,1489,82,1.0474344701953244,0.7130401781196236,1,1,False,False,False,True,,2.0
60,10000066,235867257,1,133,848,0,848,1245,False,0,0,618120546475489,3174,1355,7231,33,0.2583976558033162,0.5858065702525337,1,0,False,False,True,False,,
28,10000067,226936398,2,38,2554,0,2554,1220,False,0,0,5478769899927517,1589,0,7194,60,0.046945967110415,0.2462611347499977,0,0,True,False,False,False,,1.0
54,10000068,215727862,2,5,1804,1206,3010,1081,False,0,0,5889144449835539,922,55234,168998,279,0.201238404839305,0.4832746631126599,1,0,False,True,False,False,,3.0
61,10000069,266824417,0,85,1868,0,1868,613,False,0,0,3543586449639243,631,191221,31203,100,0.1670396145610278,0.3119952612729878,0,0,True,False,False,False,,1.0
34,10000070,220518444,1,196,2017,0,2017,399,True,15320,132,5885379821433952,1400,150284,23093,33,0.412388635988041,0.4825038744477026,1,0,False,True,False,False,,1.0
41,10000071,268437492,0,106,3872,0,3872,352,False,0,0,7536749785249141,1662,0,715,21,0.00879329004329,0.0171536796536796,0,0,False,False,False,False,,1.0
51,10000072,237101146,0,234,2091,0,2091,330,False,0,0,6860134778948963,853,0,8320,25,0.1591582974653276,0.2668338593054593,0,0,True,False,False,False,,1.0
26,10000073,294184877,1,28,0,0,0,292,True,13606,302,4067917665122150,36,0,20830,20,1343.5,1.0,1,1,False,False,False,True,,
56,10000074,229847882,0,151,1771,0,1771,979,True,15218,163,141884216309001,5754,18299,6346,55,0.1571890560032852,0.2644808704423996,1,0,True,False,False,False,,1.0
46,10000075,289865944,3,221,485,0,485,627,False,0,0,5944633399948532,10009,101066,6233,25,0.5140618556701031,0.5495422680412372,1,1,False,False,True,False,,
70,10000076,244612921,0,139,1464,834,2298,1018,False,0,0,895326389021994,8390,164988,4050,26,0.0677846957220325,0.0935629644506929,0,0,False,False,False,False,,1.0
55,10000077,252916049,1,53,2651,0,2651,689,False,0,0,7113633792234103,1441,17891,23960,35,0.2582313951608557,0.4802499679985761,0,0,False,True,False,False,,
73,10000078,218994192,0,215,2912,0,2912,1475,False,0,0,4699673311677269,448,0,132441,79,0.5757102865488941,0.5055863008574979,0,1,False,False,True,False,,1.0
47,10000079,221680625,3,160,788,0,788,1002,False,0,0,6084376855078967,2221,14610,1759,17,0.1313078530904747,0.393259181845327,0,0,False,True,False,False,,
40,10000080,262089786,0,42,1139,0,1139,738,False,0,0,9352196263355643,1996,0,6004,42,0.1255069191855846,0.4309153506183564,0,0,False,True,False,False,,
51,10000081,284673939,0,47,962,929,1891,589,False,0,0,4369709317069556,812,88007,500,35,0.0075545818538943,0.1997431442169676,0,0,False,False,False,False,,
70,10000082,263332084,0,164,3414,0,3414,745,True,11972,114,767616453454722,3823,101196,8839,35,0.1073646330236839,0.2891855052146585,0,0,True,False,False,False,,1.0
57,10000083,284095459,0,184,2904,0,2904,277,False,0,0,3989830650312198,149,0,17551,39,0.1549675072402345,0.4245970419206311,1,0,False,True,False,False,,
25,10000084,253771998,3,16,2741,0,2741,1128,False,0,0,418472426423642,14461,62909,5040,42,0.0437796424662531,0.0792411528639182,0,0,False,False,False,False,,1.0
47,10000085,247071046,0,159,1374,0,1374,1245,False,0,0,8131909248762303,7615,0,31241,69,0.3295255574541695,0.4189787739385731,0,0,False,True,False,False,,1.0
56,10000086,279751366,0,225,832,0,832,344,False,0,0,9111428178522823,195,0,14055,54,0.3128338675213675,0.3843781619553532,1,0,False,True,False,False,,1.0
31,10000087,271492815,0,160,3184,0,3184,1337,False,0,0,524808806220722,5987,16856,11933,18,0.2082111948632049,0.245936110184743,0,0,True,False,False,False,,1.0
40,10000088,211659440,1,19,2943,0,2943,480,False,0,0,3959473721329016,2807,0,500,76,0.0022354561224672,0.1753590142532682,0,0,False,False,False,False,,3.0
34,10000089,293625419,0,283,0,0,0,1217,False,0,0,2047876886878599,415,27610,7344,33,222.54545454545453,1.0,1,1,False,False,False,True,,
63,10000090,288863127,1,192,3993,0,3993,529,True,7961,153,6486287203195419,155,0,731,35,0.0435476369360666,0.2949416044823171,0,0,True,False,False,False,,1.0
52,10000091,280137085,2,67,2115,0,2115,1093,False,0,0,6664505730362792,2644,128711,3050,57,0.0252996557587822,0.1143173699222218,0,0,False,False,False,False,,1.0
63,10000092,266316931,0,153,2334,0,2334,668,False,0,0,4632037476775372,655,27647,30713,61,0.2157205669574501,0.324953662087681,0,0,True,False,False,False,,1.0
53,10000093,225102023,0,144,218,0,218,1106,False,0,0,6032145057661945,1037,110591,5901,75,0.3609174311926605,1.0,1,0,False,False,False,True,,
25,10000094,265625517,0,39,357,0,357,1523,False,0,0,8870715534820128,311,0,13526,31,1.2221921026475109,1.0,1,1,False,False,False,True,,3.0
27,10000095,230084652,0,49,388,485,873,918,True,25085,216,4008385076597595,1446,0,18738,21,1.2695139911634756,0.950104501169896,1,1,False,False,False,True,,1.0
52,10000096,229891032,0,93,3036,0,3036,1103,False,0,0,4508917768089812,2113,0,3825,39,0.0323046518698692,0.3069631251155263,0,0,True,False,False,False,,
37,10000097,286046949,0,15,1542,0,1542,1240,False,0,0,6574223196463004,2369,20604,3625,45,0.0522409569102176,0.3608515487614987,0,0,False,True,False,False,,3.0
40,10000098,288911183,0,30,1922,0,1922,1289,False,0,0,236936268943012,368,74401,2563,45,0.0296334836397271,0.4337465803176005,1,0,False,True,False,False,,3.0
43,10000099,288205594,1,40,2393,0,2393,1345,True,15101,136,471372711759574,9247,36842,11357,37,0.1851006878169435,0.4455207119558307,1,0,False,True,False,False,,3.0
56,10000100,223449152,1,119,1685,0,1685,1126,False,0,0,9885582984933067,15262,0,4447,15,0.175944609297725,0.3206152324431256,0,0,True,False,False,False,,
63,10000101,224178065,0,29,3827,0,3827,726,False,0,0,4584760944128333,10438,169974,30673,43,0.1863928877437546,0.3849552261396585,0,0,False,True,False,False,,
30,10000102,285522135,0,35,1539,64,1603,1342,True,3757,67,7218856669541329,301,13662,14363,55,0.2047070833097033,0.5032688432297717,0,0,False,False,True,False,,1.0
31,10000103,223554707,0,109,1865,0,1865,1305,False,0,0,7150666267055143,16018,101846,5927,55,0.0577821106507433,0.1280726297830855,0,0,False,False,False,False,,1.0
67,10000104,248398732,2,115,1477,0,1477,1329,True,149,20,7769366343925295,1517,10240,4169,59,0.0613818665871039,0.386764485706685,0,0,False,True,False,False,,1.0
71,10000105,281891508,1,288,2802,0,2802,1193,True,39921,335,9611110286712007,1989,0,16495,56,0.2246800754563067,0.5796221895878525,1,0,False,False,True,False,,
66,10000106,256153339,0,9,1256,0,1256,1288,False,0,0,2024559102451091,5038,0,21108,46,0.3653420105234007,0.602225265888247,1,0,False,False,True,False,,
62,10000107,265148727,0,224,1837,27,1864,194,True,17945,664,903267149498194,429,109227,19018,72,0.4979285884597043,0.5102717451712256,1,0,False,False,True,False,,1.0
61,10000108,245451818,0,56,1085,0,1085,659,False,0,0,2179428179340652,17132,82369,147150,195,0.69549805033676,0.5460202859091099,1,1,False,False,True,False,,1.0
38,10000109,261411224,1,392,1592,0,1592,1121,False,0,0,7758446634533722,2966,0,15195,39,0.2447332817935833,0.5144785834379747,1,0,False,False,True,False,,2.0
70,10000110,297884113,0,435,747,0,747,258,True,11596,892,109121722145593,2958,73889,1224,57,1.2228563376312267,0.7909497639681534,1,1,False,False,False,True,,2.0
41,10000111,275174087,0,35,498,0,498,1151,False,0,0,7661894370526351,18183,0,210561,189,2.237107158793905,1.0,1,1,False,False,False,True,,
41,10000112,286775659,0,234,512,0,512,629,False,0,0,46277657256592,2428,166514,134669,301,0.8738385070598007,0.8802068952336068,1,1,False,False,False,True,,
34,10000113,291733516,0,54,843,0,843,1789,False,0,0,246175202389743,4741,0,5116,58,0.1046345154824723,0.5248773193307608,1,0,False,False,True,False,,
28,10000114,273491242,3,168,1584,0,1584,659,True,26036,867,2600559550178332,408,6066,1952,43,0.5760071646699554,0.5510262948583466,0,1,False,False,True,False,,1.0
53,10000115,215028557,2,41,2761,0,2761,1073,True,446,20,5848689993607984,20238,49231,3200,40,0.0362187613183629,0.1727816008692502,0,0,False,False,False,False,,1.0
26,10000116,233112256,0,61,1752,435,2187,1120,False,0,0,8704506917679935,399,18849,6501,55,0.0540466392318244,0.2861630672676846,0,0,True,False,False,False,,1.0
74,10000117,246965460,1,36,2445,0,2445,1343,False,0,0,9374403946408303,7597,0,6798,47,0.059156768045947,0.2560553452551886,0,0,True,False,False,False,,
65,10000118,264086249,0,94,1460,337,1797,605,False,0,0,7360601488608490,11251,20298,500,59,0.0047159578582005,0.0523872178678211,0,0,False,False,False,False,,1.0
27,10000119,229307578,1,20,2458,0,2458,331,False,0,0,7938841368528306,9959,15142,10845,67,0.0658525922057734,0.2128966463190768,0,0,True,False,False,False,,3.0
52,10000120,292979370,2,45,1250,0,1250,929,False,0,0,1537012424462632,311,33796,9015,72,0.1001666666666666,0.4946478201715468,0,0,False,True,False,False,,3.0
45,10000121,291692326,0,214,2272,0,2272,912,False,0,0,5144881121031421,893,1634,6231,8,0.3428147007042254,0.3686786113019581,1,0,False,True,False,False,,1.0
65,10000122,263917932,0,22,106,0,106,730,False,0,0,7518878179415152,4478,16478,6138,45,1.2867924528301888,1.0,1,1,False,False,False,True,,
49,10000123,215205303,3,158,2187,0,2187,370,False,0,0,6384091122528837,1756,141860,5502,47,0.0535271283892245,0.1829683457464536,0,0,False,False,False,False,,1.0
36,10000124,263122402,0,69,1279,0,1279,1396,False,0,0,5056618632397913,30372,0,15913,54,0.2304028031158601,0.255882778791301,0,0,True,False,False,False,,1.0
61,10000125,254492381,0,188,1082,0,1082,578,True,8307,138,7876553007309505,17294,84480,22867,81,0.3884553068163666,0.5342608568066016,1,0,False,False,True,False,,2.0
35,10000126,241887353,0,62,1430,0,1430,373,False,0,0,5605712198819277,6569,572,2743,15,0.1278787878787879,0.0902773892773892,0,0,False,False,False,False,,1.0
75,10000127,216615722,0,113,1613,0,1613,997,True,9276,515,8851905348640104,2431,32593,4611,66,0.3625936989235191,0.5823322748391936,1,0,False,False,True,False,,
52,10000128,273782705,0,223,1286,0,1286,1656,True,21756,418,2462456185174460,33834,114365,9781,76,0.4251145944176148,0.6132029139723336,1,0,False,False,True,False,,2.0
31,10000129,246048781,1,5,13,0,13,544,True,40070,435,452128991511455,3847,0,38623,47,96.67430441898526,1.0,1,1,False,False,False,True,,
59,10000130,259988144,0,34,678,0,678,308,False,0,0,1293913044881898,1582,13513,2480,39,0.0937901822857575,0.3281284437467892,0,0,True,False,False,False,,
30,10000131,212715612,1,185,2526,0,2526,278,True,11426,175,4841604615402119,6647,150403,11178,34,0.1994317917190629,0.2773616277757934,0,0,True,False,False,False,,1.0
66,10000132,255347617,1,4,1882,0,1882,1199,False,0,0,170756814298315,604,92347,13821,46,0.1596474610728642,0.5006825246861648,1,0,False,False,True,False,,3.0
49,10000133,250675347,2,237,3734,0,3734,109,False,0,0,2291073228360849,463,6558,18907,60,0.0843911801464024,0.2332377565099042,0,0,True,False,False,False,,1.0
30,10000134,251734908,0,25,1604,0,1604,394,False,0,0,3783063963845269,1394,0,7067,55,0.0801065518023124,0.2294426195918856,0,0,True,False,False,False,,1.0
58,10000135,247627490,1,238,2197,0,2197,1328,False,0,0,6944391649701693,21463,10599,222653,323,0.3137588408623636,0.3968933901285023,0,0,False,True,False,False,,1.0
62,10000136,275984013,3,59,3598,0,3598,496,False,0,0,4292913203301623,1548,14322,4571,24,0.0529345006485084,0.1741354193566271,0,0,False,False,False,False,,1.0
42,10000137,223182514,0,0,13,0,13,621,False,0,0,4190310615372215,314,10851,25900,78,25.54240631163708,1.0,1,1,False,False,False,True,,
61,10000138,240595926,0,95,361,564,925,1021,False,0,0,5668473236533774,53,8689,6751,72,0.1013663663663663,0.4045442089008439,0,0,False,True,False,False,,1.0
27,10000139,228036919,0,34,1974,0,1974,290,False,0,0,6040672007843614,5154,0,2395,32,0.037914766970618,0.1872023809523809,0,0,False,False,False,False,,3.0
28,10000140,250329802,0,143,3034,0,3034,410,False,0,0,2442607819754373,832,124621,13335,70,0.0627883981542518,0.2329081250328708,0,0,True,False,False,False,,1.0
75,10000141,269473299,2,23,122,0,122,766,False,0,0,4764273720376388,644,0,6908,10,5.662295081967213,1.0,1,1,False,False,False,True,,3.0
46,10000142,253066216,0,50,540,0,540,1561,True,8207,631,2145841484601913,4607,1372,6932,17,1.9236383442265796,1.0,1,1,False,False,False,True,,
32,10000143,246160937,0,118,1385,425,1810,271,True,2913,26,4438998278020586,1323,39946,10481,64,0.1048428867403314,0.3391524440477282,0,0,True,False,False,False,,1.0
74,10000144,265938288,1,269,2171,0,2171,499,True,17331,262,9507321464493699,3923,0,4301,48,0.1619549362812836,0.366878885721744,0,0,False,True,False,False,,
65,10000145,291198924,0,162,2172,0,2172,1114,True,11121,139,9516793350557385,12851,81998,9367,81,0.117238478503058,0.2238290930586817,0,0,True,False,False,False,,1.0
43,10000146,296644900,0,191,3247,0,3247,1242,False,0,0,7368011923603768,18397,15325,4594,43,0.0329033598097707,0.0705373833449123,0,0,False,False,False,False,,1.0
48,10000147,221983878,0,46,658,0,658,576,False,0,0,1187233351040961,808,15953,1999,17,0.1787055247630967,0.4719892007866976,0,0,False,True,False,False,,3.0
54,10000148,235224301,1,347,1254,0,1254,549,True,18351,1529,4973153911498307,14333,55275,2864,22,1.323111497752646,0.8449144555603886,1,1,False,False,False,True,,2.0
70,10000149,269286198,2,100,2697,0,2697,271,False,0,0,4820736511893940,228,0,25917,43,0.2234782833639444,0.3027042208889285,0,0,True,False,False,False,,1.0
54,10000150,238372352,1,48,2240,0,2240,1144,True,7667,170,6557820190432230,517,135900,1117,42,0.087765731292517,0.319226852189892,0,0,True,False,False,False,,1.0
25,10000151,264649480,0,143,594,0,594,288,True,3628,34,2333247073920135,3174,0,121552,347,0.6469595086309783,0.6262886629113779,1,1,False,False,True,False,,1.0
68,10000152,275023164,1,159,1266,0,1266,323,False,0,0,4621276025082611,1190,75085,13603,34,0.3160254623176284,0.497185472652574,1,0,False,True,False,False,,2.0
68,10000153,279323646,0,330,923,0,923,406,True,21518,307,2312616324888995,960,48206,6662,20,0.6934994582881907,0.7645644329733465,1,1,False,False,False,True,,
32,10000154,260185378,0,24,379,0,379,1815,False,0,0,7298937629745493,12175,0,2606,50,0.1375197889182058,0.9233456464379944,1,0,False,False,False,True,,3.0
69,10000155,217543817,0,33,1858,807,2665,538,False,0,0,364687191203818,1215,0,4215,38,0.0416214081169151,0.3392924179804528,0,0,True,False,False,False,,3.0
28,10000156,279158328,1,13,1083,0,1083,348,False,0,0,7692082832308981,2139,0,5041,55,0.0846302358767732,0.3472042575098127,0,0,True,False,False,False,,
64,10000157,231336920,0,355,853,0,853,924,False,0,0,3881588144582206,1366,0,2870,29,0.1160205360391316,0.4637350788884928,1,0,False,True,False,False,,2.0
64,10000158,218806960,1,109,1433,0,1433,503,False,0,0,7323182971681572,5907,5607,208274,131,1.1094751309109698,0.8407695236016799,1,1,False,False,False,True,,2.0
33,10000159,251758234,0,418,1437,0,1437,1377,True,16700,216,4500000015291137,21343,115342,16278,63,0.3301189647744971,0.5257845378930973,1,0,False,False,True,False,,2.0
26,10000160,278020910,0,96,1779,865,2644,1510,False,0,0,1785090255618444,7136,63994,11552,12,0.3640948058497226,0.4577685678828337,1,0,False,True,False,False,,
61,10000161,264141437,1,3,2017,0,2017,508,False,0,0,2182998747812248,588,25856,8452,34,0.1232465222082883,0.4231652678939338,0,0,False,True,False,False,,3.0
52,10000162,228206610,1,57,1188,462,1650,176,False,0,0,9056708670090043,11231,0,89103,256,0.2109446022727272,0.4251690960715977,0,0,False,True,False,False,,
28,10000163,280368504,1,14,962,0,962,1663,False,0,0,6551584826691362,3136,50617,23792,257,0.0962327188008121,0.6214359275019998,1,0,False,False,True,False,,
38,10000164,286325904,0,141,370,0,370,1003,False,0,0,4835505429608070,5006,4271,5714,58,0.2662628145386766,0.5379386459497781,1,0,False,False,True,False,,1.0
56,10000165,213885356,1,101,183,0,183,533,False,0,0,6336998795098221,7566,0,30640,83,2.0172493251695305,1.0,1,1,False,False,False,True,,1.0
27,10000166,233318633,0,37,1233,0,1233,1043,True,2435,35,401648188044287,11712,10279,9991,53,0.1812728580391436,0.4493947879845139,1,0,False,True,False,False,,
57,10000167,235872271,0,159,1649,0,1649,771,False,0,0,7383638164321269,18078,9541,3661,32,0.0693791691934505,0.0978850818677986,0,0,False,False,False,False,,1.0
48,10000168,236941091,0,29,452,0,452,816,True,11074,178,4289464203625863,8424,0,5142,49,0.6259707422792126,0.7711847570886761,1,1,False,False,False,True,,
